Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-07-20,196.0,153.0,187.0,186.8,186.8,187.2,18204.6731772
2017-07-19,170.49,152.18,157.0,155.94,156.03,157.97,5048.68919993
2017-07-18,166.6,145.0,156.57,155.56,155.56,157.58,7363.84026153
2017-07-17,151.77,130.72,149.94,151.77,149.94,149.94,9059.20997555
2017-07-16,145.14,120.0,134.49,133.3,133.57,135.41,24456.11921533
2017-07-15,161.97,141.0,143.605,143.24,143.25,143.96,10274.45225577
2017-07-14,171.99,152.04,159.945,160.45,159.32,160.57,4438.90387428
2017-07-13,181.99,163.53,169.7,169.01,169.4,170.0,6341.31648805
2017-07-12,179.12,152.32,178.31,178.2,178.2,178.42,6576.18024305
2017-07-11,179.4,152.01,162.6,162.42,162.39,162.81,17244.71749932
2017-07-10,199.28,171.01,172.1,171.03,171.03,173.17,8111.41111126
2017-07-09,211.0,197.5,198.64,199.39,198.2,199.08,4149.80279
2017-07-08,210.0,183.33,206.74,206.02,206.1,207.38,9426.40641152
2017-07-07,211.77,185.62,187.99,187.4,187.45,188.53,8900.27313344
2017-07-06,225.55,202.0,209.775,210.0,209.56,209.99,16370.96588888
2017-07-05,213.05,178.25,205.335,205.4,204.84,205.83,19672.87770039
2017-07-04,188.06,177.02,179.95,179.81,179.58,180.32,4164.87708231
2017-07-03,183.0,167.39,179.945,180.05,178.88,181.01,5032.46870948
2017-07-02,170.0,157.0,168.715,168.45,168.34,169.09,2970.30766269
2017-07-01,177.0,157.0,158.27,158.3,157.82,158.72,4420.45851496
2017-06-30,181.19,171.35,175.485,174.88,174.69,176.28,3986.76235124
2017-06-29,181.22,166.0,172.89,172.54,172.54,173.24,7243.57399841
2017-06-28,183.03,166.62,181.045,179.85,180.79,181.3,9411.33651855
2017-06-27,171.0,142.25,170.495,170.99,170.03,170.96,11106.57253842
2017-06-26,167.45,141.15,155.96,156.98,154.81,157.11,11223.69221386
2017-06-25,176.77,159.0,162.755,162.67,162.0,163.51,7300.45415993
2017-06-24,186.3,170.63,172.915,171.9,172.13,173.7,2362.53602513
2017-06-23,189.78,178.5,186.385,186.6,186.31,186.46,1833.78352149
2017-06-22,186.5,169.87,178.95,178.61,178.64,179.26,3388.39446685
2017-06-21,193.56,169.0,175.54,175.35,175.12,175.96,4829.31280376
2017-06-20,199.0,180.0,189.955,190.18,189.73,190.18,8144.66007381
2017-06-19,198.0,185.32,196.32,195.97,196.04,196.6,11952.42015196
2017-06-18,187.5,169.0,185.415,185.26,185.32,185.51,7261.93723032
2017-06-17,185.6,153.0,179.675,179.23,179.28,180.07,13012.08440158
2017-06-16,162.0,149.26,158.705,158.7,158.7,158.71,3464.44370441
2017-06-15,160.9,132.03,156.36,156.07,155.98,156.74,11913.84742627
2017-06-14,190.0,146.55,152.16,151.26,151.26,153.06,28748.6895595
2017-06-13,181.7,159.56,180.685,180.47,180.47,180.9,10946.10879558
2017-06-12,194.65,150.0,158.065,158.99,156.41,159.72,16170.97334867
2017-06-11,199.0,144.0,190.275,191.56,189.14,191.41,47247.27858855
2017-06-10,151.92,141.29,146.005,146.4,145.13,146.88,5781.06932044
2017-06-09,149.75,142.25,147.04,147.27,146.89,147.19,2974.65661322
2017-06-08,144.99,135.22,143.39,143.57,143.14,143.64,4278.42635894
2017-06-07,152.6,133.44,136.87,137.2,136.56,137.18,14522.47336067
2017-06-06,146.6,129.0,142.42,143.06,142.15,142.69,17259.65235817
2017-06-05,144.88,137.92,142.655,142.14,142.49,142.82,5536.36254846
2017-06-04,141.72,136.0,140.13,140.03,140.03,140.23,3425.63162909
2017-06-03,145.0,138.0,140.535,141.3,140.23,140.84,6137.86108947
2017-06-02,140.0,130.01,139.985,139.99,139.98,139.99,5785.03958128
2017-06-01,144.19,125.0,131.465,131.65,131.28,131.65,13478.70324691
2017-05-31,138.43,110.02,135.635,135.9,135.57,135.7,14078.99667463
2017-05-30,124.64,111.71,115.3,115.2,115.23,115.37,13211.86157762
2017-05-29,116.0,99.027,114.0,113.87,113.5,114.5,8627.70970906
2017-05-28,112.33,95.645,101.745,102.57,101.42,102.07,10803.11893305
2017-05-27,113.8,84.0,96.823,97.592,96.105,97.541,25565.43365679
2017-05-26,135.0,108.1,108.535,108.1,108.1,108.97,17581.36465713
2017-05-25,145.15,123.01,125.065,125.0,124.64,125.49,21369.47010163
2017-05-24,166.84,131.83,141.925,141.76,141.76,142.09,33018.57733717
2017-05-23,139.0,114.0,132.38,132.25,132.27,132.49,22868.81432396
