Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-06-27,39.315,32.62,39.2685,39.296,39.241,39.296,228948.70509453
2017-06-26,40.94,34.1,37.61,37.663,37.594,37.626,315773.81387193
2017-06-25,43.115,37.201,39.208,39.19,39.207,39.209,169733.11343631
2017-06-24,45.739,40.6,41.303,41.214,41.235,41.371,146081.90637172
2017-06-23,46.59,45.005,45.6035,45.586,45.588,45.619,62113.91965661
2017-06-22,47.539,42.094,45.706,45.713,45.7,45.712,140045.70210277
2017-06-21,46.99,41.5,43.4365,43.378,43.377,43.496,217869.96028868
2017-06-20,48.427,43.1,46.3505,46.301,46.301,46.4,209428.44149675
2017-06-19,49.99,41.644,47.9975,47.995,47.995,48.0,459986.32570193
2017-06-18,46.96,39.5,41.916,41.975,41.861,41.971,410547.6558768
2017-06-17,47.6,32.14,46.5715,46.64,46.546,46.597,699482.36191853
2017-06-16,33.413,27.23,32.145,32.15,32.14,32.15,227578.03901917
2017-06-15,29.08,24.25,28.662,28.65,28.651,28.673,198248.57090436
2017-06-14,31.017,26.586,28.4045,28.409,28.4,28.409,203850.53160685
2017-06-13,30.065,27.42,29.5725,29.58,29.5,29.645,112197.39246503
2017-06-12,33.515,21.5,27.6265,27.643,27.61,27.643,393007.16772787
2017-06-11,34.2,28.6,33.083,33.066,33.066,33.1,265626.84843861
2017-06-10,29.965,28.704,28.8595,28.8,28.806,28.913,73998.06584637
2017-06-09,30.815,29.522,29.5355,29.547,29.523,29.548,123897.7951437
2017-06-08,30.398,27.435,30.1815,30.187,30.176,30.187,134508.41621446
2017-06-07,30.564,27.7,28.28,28.306,28.25,28.31,151550.47695182
2017-06-06,30.9,28.185,29.3815,29.4,29.363,29.4,232710.24057941
2017-06-05,30.84,26.972,29.575,29.575,29.565,29.585,211081.15021316
2017-06-04,27.59,25.79,27.036,27.026,27.027,27.045,77205.71306666
2017-06-03,27.179,25.81,26.7445,26.689,26.744,26.745,51941.39815771
2017-06-02,27.71,25.4,27.054,27.085,27.033,27.075,99749.24792037
2017-06-01,28.6,23.91,25.86,25.9,25.831,25.889,256488.14017838
2017-05-31,25.154,21.93,24.697,24.663,24.664,24.73,140712.82983103
2017-05-30,26.0,23.1,23.378,23.374,23.375,23.381,177853.07727138
2017-05-29,25.45,21.925,24.707,24.82,24.64,24.774,128743.30906648
2017-05-28,24.979,20.6,22.1705,22.089,22.152,22.189,261966.97525513
2017-05-27,25.3,17.6,21.8715,21.845,21.82,21.923,497024.9535823
2017-05-26,29.424,23.21,24.1455,24.01,24.01,24.281,362097.05139317
2017-05-25,33.99,26.983,28.9425,28.945,28.905,28.98,450307.66294206
2017-05-24,34.45,29.74,33.0615,32.902,33.038,33.085,423488.32030805
2017-05-23,30.416,23.176,29.7465,29.75,29.743,29.75,482563.33478034
2017-05-22,26.311,21.708,23.327,23.291,23.254,23.4,453021.52931166
2017-05-21,28.763,25.258,26.0255,26.05,26.012,26.039,211002.25802576
2017-05-20,27.99,26.437,27.546,27.467,27.516,27.576,124925.84194446
2017-05-19,29.6,26.39,26.8025,26.824,26.771,26.834,284133.67973365
2017-05-18,29.93,25.003,29.4665,29.47,29.463,29.47,284386.16456221
2017-05-17,26.98,21.01,25.1125,25.108,25.11,25.115,402316.05569249
2017-05-16,26.97,23.144,24.185,24.183,24.183,24.187,381318.12212414
2017-05-15,29.444,25.479,26.319,26.322,26.317,26.321,280926.25540777
2017-05-14,31.011,28.0,28.714,28.649,28.697,28.731,282166.87305151
2017-05-13,29.07,25.99,28.919,28.9,28.9,28.938,270495.77004068
2017-05-12,31.9,27.583,28.849,28.872,28.84,28.858,303712.59876777
2017-05-11,34.9,28.33,30.59,30.606,30.58,30.6,346843.65718244
2017-05-10,39.111,30.365,33.3925,33.39,33.367,33.418,964423.42892904
2017-05-09,32.9,23.704,31.909,31.81,31.81,32.008,799808.51435464
2017-05-08,31.146,28.0,29.2205,29.384,29.105,29.336,387901.74245387
2017-05-07,32.832,28.511,30.8295,30.8,30.821,30.838,455874.45916602
2017-05-06,28.999,25.551,28.9035,28.9,28.9,28.907,324778.66345585
2017-05-05,28.729,24.0,26.853,26.816,26.817,26.889,678343.59671885
2017-05-04,26.977,21.699,24.7865,24.71,24.751,24.822,928643.39016201
2017-05-03,26.5,17.05,23.2055,23.397,23.155,23.256,1014360.2612358
2017-05-02,17.65,16.499,17.1365,17.17,17.136,17.137,123553.25015449
2017-05-01,17.68,16.154,16.795,16.766,16.766,16.824,285014.74458977
2017-04-30,17.509,16.551,16.9905,16.99,16.99,16.991,211900.8902424
2017-04-29,16.956,15.354,16.7845,16.8,16.769,16.8,190093.55175177
2017-04-28,16.25,15.104,15.5615,15.561,15.561,15.562,175751.52223656
2017-04-27,16.37,14.23,15.915,15.959,15.871,15.959,380172.10554334
2017-04-26,17.283,15.927,16.14,16.189,16.108,16.172,420824.32641064
2017-04-25,16.833,15.45,16.598,16.597,16.597,16.599,265669.74275252
2017-04-24,16.77,15.31,16.0405,16.081,16.027,16.054,333225.93505942
2017-04-23,17.361,14.998,16.625,16.6,16.6,16.65,714018.97633719
2017-04-22,15.35,12.68,15.071,15.132,15.013,15.129,762951.9670516
2017-04-21,13.3,11.435,12.814,12.82,12.81,12.818,436566.52108513
2017-04-20,11.99,10.521,11.498,11.519,11.48,11.516,199533.42921566
2017-04-19,11.6,10.51,10.7115,10.687,10.702,10.721,220113.02900238
2017-04-18,12.25,10.98,11.411,11.403,11.407,11.415,460232.64064997
2017-04-17,12.87,12.011,12.0905,12.071,12.062,12.119,580527.96090686
2017-04-16,12.2,11.69,12.0365,12.058,12.015,12.058,133796.483195
2017-04-15,12.38,11.243,12.0075,12.0,12.0,12.015,296986.0547646
2017-04-14,12.199,11.08,11.9425,11.97,11.908,11.977,276111.40688704
2017-04-13,11.93,10.694,11.258,11.265,11.233,11.283,284517.47124431
2017-04-12,12.318,9.6594,11.886,11.858,11.859,11.913,833175.59152756
2017-04-11,10.405,9.5,9.71985,9.7025,9.7018,9.7379,227650.1951093
2017-04-10,10.3,9.01,9.91605,9.9031,9.9061,9.926,356975.21987246
2017-04-09,10.99,9.0,9.3891,9.3653,9.3652,9.413,635129.92969252
2017-04-08,11.313,10.0,10.864,10.859,10.859,10.869,347274.41016883
2017-04-07,11.3,9.54,10.224,10.222,10.222,10.226,680655.31562656
2017-04-06,12.75,10.21,10.7095,10.72,10.7,10.719,1527493.3167143
2017-04-05,12.19,8.725,12.079,12.139,12.009,12.149,1423888.9929154
2017-04-04,9.45,8.121,9.14555,9.1,9.0811,9.21,758910.70457188
2017-04-03,9.4889,7.6013,8.4202,8.391,8.391,8.4494,773334.84542374
2017-04-02,8.6374,7.13,8.2001,8.2,8.1901,8.2101,801984.06548147
2017-04-01,7.59,6.5463,7.5366,7.5825,7.5132,7.56,430067.37634395
2017-03-31,7.84,6.001,7.1316,7.1734,7.1033,7.1599,751913.54318816
2017-03-30,7.9,4.2701,7.1394,7.15,7.0833,7.1955,1501147.7183998
2017-03-29,4.3762,4.135,4.3055,4.3181,4.2917,4.3193,78659.26993512
2017-03-28,4.2195,4.0634,4.19365,4.2,4.1797,4.2076,27125.5457784
2017-03-27,4.188,4.0301,4.0806,4.0798,4.0645,4.0967,53649.81733316
2017-03-26,4.1499,4.0,4.0788,4.0974,4.0678,4.0898,27933.37203773
2017-03-25,4.34,3.97,4.0989,4.0821,4.0806,4.1172,126734.59278374
2017-03-24,4.3332,3.9171,4.18635,4.18,4.162,4.2107,181757.34822434
2017-03-23,4.0399,3.8979,3.99215,3.9848,3.9815,4.0028,18724.54303093
2017-03-22,4.0627,3.811,3.9233,3.9544,3.8948,3.9518,83690.1832156
2017-03-21,4.0776,3.9601,4.04315,4.06,4.0238,4.0625,69121.16613224
2017-03-20,4.03,3.8409,4.0054,4.0299,3.9853,4.0255,55157.90698598
2017-03-14,4.3899,4.112,4.19915,4.15,4.1907,4.2076,51812.19793405
2017-03-13,4.47,3.8152,4.3488,4.3129,4.3222,4.3754,110619.37903505
2017-03-12,3.8875,3.7404,3.798,3.806,3.79,3.806,15497.84869824
2017-03-11,4.1,3.735,3.78825,3.8109,3.7693,3.8072,147830.00009781
2017-03-10,3.9613,3.8359,3.8918,3.8734,3.8729,3.9107,15740.63463936
2017-03-09,3.9898,3.8197,3.84745,3.8882,3.834,3.8609,19479.07453156
2017-03-08,4.101,3.9173,3.98535,4.0069,3.9673,4.0034,24777.01389266
2017-03-07,4.1004,3.9812,4.08925,4.1003,4.0781,4.1004,18125.20691447
2017-03-06,4.0195,3.9529,3.9976,4.0137,3.9863,4.0089,4126.46952619
2017-03-05,4.0866,3.9431,3.99395,4.0,3.982,4.0059,15709.08445163
2017-03-04,4.1386,4.0,4.07985,4.0999,4.0625,4.0972,34659.79280779
2017-03-03,4.27,3.8169,4.0154,4.0601,4.0073,4.0235,138680.7801171
2017-03-02,3.9325,3.778,3.87155,3.85,3.8555,3.8876,17491.07515325
2017-03-01,3.8995,3.787,3.7926,3.8061,3.7805,3.8047,12067.6895127
2017-02-28,3.9012,3.83,3.86005,3.8728,3.843,3.8771,13762.65494802
2017-02-27,3.9294,3.819,3.88805,3.8747,3.8761,3.9,22495.30212391
2017-02-26,3.9687,3.88,3.8957,3.8801,3.8801,3.9113,8369.32948745
2017-02-25,3.98,3.8087,3.93655,3.9488,3.9241,3.949,29558.02907043
2017-02-24,3.961,3.8608,3.9441,3.9399,3.9355,3.9527,21230.58549901
2017-02-23,3.92,3.8272,3.88585,3.9009,3.8737,3.898,15416.19934382
2017-02-22,3.886,3.7835,3.8564,3.8566,3.841,3.8718,17322.98012845
2017-02-21,3.8569,3.7514,3.8115,3.8086,3.7899,3.8331,31665.50825772
2017-02-20,3.8433,3.7528,3.78565,3.8,3.7713,3.8,25566.27478352
2017-02-19,3.9295,3.8139,3.81835,3.8139,3.8101,3.8266,21289.41418666
2017-02-18,3.9297,3.84,3.90225,3.8961,3.8875,3.917,15251.0179031
2017-02-17,3.94,3.8524,3.87915,3.8831,3.8637,3.8946,14135.38446878
2017-02-16,3.9173,3.8043,3.88465,3.8933,3.8671,3.9022,20939.23127497
2017-02-15,3.842,3.7215,3.82835,3.83,3.8167,3.84,10596.24915125
2017-02-14,3.7767,3.701,3.75565,3.7698,3.7414,3.7699,7573.55105223
2017-02-13,3.8085,3.7394,3.7461,3.7394,3.7266,3.7656,8220.63840765
2017-02-12,3.8299,3.7701,3.7957,3.8153,3.7811,3.8103,4802.45570041
2017-02-11,3.8299,3.6494,3.80515,3.8296,3.7822,3.8281,35258.50648848
2017-02-10,3.9899,3.61,3.72865,3.737,3.7203,3.737,84606.38847913
2017-02-09,4.01,3.8602,3.9411,3.9208,3.9241,3.9581,12861.56833412
2017-02-08,4.02,3.9101,3.97005,3.9578,3.9578,3.9823,19004.88535279
2017-02-07,4.0084,3.9154,3.95,3.924,3.9309,3.9691,7317.80899068
2017-02-06,4.0068,3.895,3.94565,3.9555,3.9338,3.9575,8005.79313133
2017-02-05,4.0587,3.94,3.9997,4.012,3.9875,4.0119,19191.2723728
2017-02-04,4.08,3.8701,4.01515,4.0141,4.0151,4.0152,33509.17585139
2017-02-03,4.099,3.9801,4.08325,4.085,4.0676,4.0989,30145.9410878
2017-02-02,4.0823,4.0,4.0294,4.0163,4.0172,4.0416,27898.95820322
2017-02-01,4.181,4.0154,4.05235,4.06,4.0447,4.06,73665.4447069
2017-01-31,4.08,3.8432,4.05555,4.0715,4.0406,4.0705,55782.72330696
2017-01-30,3.89,3.8314,3.8418,3.8351,3.8362,3.8474,7501.69134115
2017-01-29,3.8999,3.8192,3.8618,3.8558,3.85,3.8736,5849.48437611
