Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-08-12,319.78,299.0,307.205,307.34,307.08,307.33,168163.03911951
2017-08-11,307.89,294.0,307.46,307.85,307.07,307.85,125507.96611671
2017-08-10,310.05,287.6,301.165,301.15,301.15,301.18,159691.61858901
2017-08-09,316.0,277.0,292.285,291.97,292.28,292.29,397759.22117814
2017-08-08,299.5,265.0,294.825,294.83,294.82,294.83,208961.81674034
2017-08-07,274.6,257.32,267.625,267.75,267.51,267.74,150378.81601982
2017-08-06,271.5,247.5,269.565,269.74,269.44,269.69,207697.02625824
2017-08-05,259.9,219.23,249.385,249.55,249.22,249.55,230592.54719031
2017-08-04,228.3,218.66,221.195,221.1,221.11,221.28,83281.51880657
2017-08-03,228.2,216.3,225.195,225.19,225.05,225.34,98495.44017076
2017-08-02,229.7,215.0,218.28,218.32,218.24,218.32,160783.54949101
2017-08-01,232.59,198.79,224.145,224.15,224.14,224.15,351494.14693418
2017-07-31,201.5,188.12,198.975,198.95,198.95,199.0,129319.62538681
2017-07-30,213.0,192.21,195.275,195.27,195.27,195.28,175818.71030073
2017-07-29,204.49,176.95,199.915,199.88,199.89,199.94,219082.03032944
2017-07-28,205.03,188.1,191.28,191.3,191.27,191.29,144056.55279812
2017-07-27,207.0,197.86,204.77,204.87,204.75,204.79,123954.77555867
2017-07-26,209.59,191.76,201.395,201.4,201.39,201.4,195439.54142497
2017-07-25,227.69,190.49,197.935,198.0,197.87,198.0,301157.35343317
2017-07-24,232.56,223.64,226.835,226.81,226.81,226.86,103654.880388
2017-07-23,236.57,219.0,226.6,226.61,226.58,226.62,121563.37491385
2017-07-22,237.19,212.47,234.44,234.44,234.44,234.44,159298.52287316
2017-07-21,239.0,208.0,219.76,219.9,219.64,219.88,265649.70449409
2017-07-20,238.0,187.0,221.695,221.7,221.69,221.7,620531.37220818
2017-07-19,245.61,192.0,192.545,192.61,192.48,192.61,658746.00888317
2017-07-18,258.0,177.5,224.485,225.33,224.0,224.97,716146.02268973
2017-07-17,187.88,153.01,186.77,186.78,186.76,186.78,403630.25972144
2017-07-16,178.43,136.12,158.85,158.99,158.78,158.92,603292.2716429
2017-07-15,198.9,173.46,175.31,175.2,175.29,175.33,193162.05058729
2017-07-14,207.76,179.58,194.945,194.94,194.78,195.11,273589.29343284
2017-07-13,224.99,189.46,204.74,204.75,204.73,204.75,239638.70599854
2017-07-12,225.0,177.78,220.04,220.14,220.02,220.06,311937.78083526
2017-07-11,215.0,169.0,191.695,191.68,191.69,191.7,514566.21822587
2017-07-10,238.93,203.33,203.6,203.34,203.34,203.86,219615.44687298
2017-07-09,249.0,236.31,238.78,238.92,238.63,238.93,56715.46996012
2017-07-08,246.66,226.68,240.575,240.32,240.52,240.63,112020.56025712
2017-07-07,266.93,233.84,234.935,235.0,234.87,235.0,132561.40575904
2017-07-06,273.0,258.37,265.485,265.35,265.47,265.5,68545.33081635
2017-07-05,272.12,249.53,265.805,265.8,265.8,265.81,127018.20768638
2017-07-04,283.0,260.0,265.445,265.61,265.2,265.69,122265.21986433
2017-07-03,283.98,266.45,275.97,276.26,275.9,276.04,97676.33847604
