Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-11-22,18.7,16.983,17.633,17.615,17.619,17.647,647005.25989462
2017-11-21,18.89,17.906,18.507,18.505,18.505,18.509,594557.89608008
2017-11-20,18.2,17.455,17.9905,17.964,17.974,18.007,359682.36178989
2017-11-19,18.342,16.671,17.6135,17.634,17.61,17.617,569566.10058478
2017-11-18,17.866,16.481,17.0915,17.091,17.091,17.092,736764.55475583
2017-11-17,17.18,16.1,16.7975,16.787,16.787,16.808,632195.31565355
2017-11-16,17.86,16.5,17.168,17.16,17.16,17.176,434767.965925
2017-11-15,18.4,15.785,17.41,17.405,17.404,17.416,1304326.3363788
2017-11-14,16.377,14.11,15.8465,15.856,15.837,15.856,1025594.2074703
2017-11-13,21.4,13.75,14.555,14.538,14.535,14.575,2567883.0511446
2017-11-12,19.475,14.149,19.134,19.102,19.103,19.165,2664707.8883497
2017-11-11,15.406,13.492,14.3505,14.392,14.315,14.386,1254244.2158405
2017-11-10,14.526,13.753,14.097,14.084,14.085,14.109,451732.8736102
2017-11-09,14.3,13.5,13.915,13.921,13.912,13.918,539318.7492478
2017-11-08,14.723,13.137,13.531,13.557,13.53,13.532,660881.27465443
2017-11-07,15.258,12.91,13.8355,13.862,13.813,13.858,1666193.8649167
2017-11-05,14.24,11.515,13.1055,13.114,13.1,13.111,1887761.7586588
2017-11-04,12.6,11.251,11.9415,11.927,11.927,11.956,787357.36197801
2017-11-03,12.47,9.798,11.639,11.633,11.633,11.645,789386.36461671
2017-11-02,10.277,9.5,9.79805,9.798,9.798,9.7981,348288.0165948
2017-11-01,10.614,10.191,10.261,10.297,10.255,10.267,210465.6156007
2017-10-31,10.887,10.544,10.5995,10.599,10.599,10.6,156140.42773246
2017-10-30,11.0,10.671,10.8005,10.798,10.798,10.803,94699.61092648
2017-10-29,11.168,10.331,10.8875,10.858,10.858,10.917,274181.68941787
2017-10-28,10.411,9.9,10.3615,10.377,10.353,10.37,147469.19757381
2017-10-27,10.65,9.7131,10.274,10.26,10.264,10.284,417367.96504164
2017-10-26,10.677,10.262,10.401,10.408,10.394,10.408,98210.95623448
2017-10-25,10.599,10.12,10.387,10.402,10.369,10.405,177599.1082494
2017-10-24,11.11,9.601,10.429,10.425,10.417,10.441,400245.34709004
2017-10-23,10.71,9.632,10.086,10.112,10.06,10.112,566904.40190271
2017-10-22,11.199,10.5,10.627,10.623,10.62,10.634,150240.53652505
2017-10-21,11.266,10.641,10.8455,10.863,10.841,10.85,132542.05208374
2017-10-20,11.498,11.09,11.1925,11.18,11.181,11.204,177564.92955406
2017-10-19,11.515,11.1,11.294,11.29,11.29,11.298,138439.39096433
2017-10-18,11.922,10.61,11.4945,11.505,11.487,11.502,281003.1514339
2017-10-17,12.478,11.527,11.769,11.798,11.757,11.781,262572.54276406
2017-10-16,12.21,11.781,11.926,11.9,11.917,11.935,163757.09761835
2017-10-15,12.5,11.522,12.0635,12.061,12.063,12.064,188254.73663697
2017-10-14,12.515,11.84,12.265,12.251,12.262,12.268,156705.72299539
2017-10-13,12.399,11.303,12.172,12.17,12.168,12.176,390898.20224072
2017-10-12,11.99,11.337,11.629,11.665,11.623,11.635,284034.67824962
2017-10-11,11.539,11.252,11.4405,11.433,11.428,11.453,118661.29788962
2017-10-10,11.69,11.25,11.4705,11.47,11.47,11.471,181581.04592265
2017-10-09,12.226,10.833,11.445,11.442,11.442,11.448,203858.82575301
2017-10-08,12.586,12.08,12.1725,12.18,12.166,12.179,132322.35300531
2017-10-07,12.507,12.032,12.4345,12.434,12.434,12.435,141193.75583434
2017-10-06,12.417,11.838,12.183,12.191,12.176,12.19,94683.93618609
2017-10-05,12.109,11.507,12.0105,12.02,12.001,12.02,119764.52315055
2017-10-04,12.396,11.745,11.847,11.865,11.828,11.866,165103.31530588
2017-10-03,12.537,11.776,12.032,12.041,12.024,12.04,137780.73459805
2017-10-02,12.997,12.331,12.415,12.41,12.412,12.418,170386.40967505
2017-10-01,13.304,12.62,12.914,12.901,12.906,12.922,177838.31115042
2017-09-30,13.6,12.65,13.271,13.305,13.258,13.284,237344.68982868
2017-09-29,13.743,12.11,12.6895,12.699,12.681,12.698,523616.97889176
2017-09-28,13.95,12.65,13.134,13.115,13.116,13.152,704109.28563349
2017-09-27,13.3,11.41,12.9775,12.992,12.962,12.993,726234.14200921
2017-09-26,12.189,10.772,11.548,11.541,11.541,11.555,441155.1276321
2017-09-25,11.149,10.369,10.9935,11.0,10.99,10.997,284922.12972644
2017-09-24,10.71,10.25,10.542,10.528,10.539,10.545,241479.63409422
2017-09-23,10.87,10.02,10.4775,10.469,10.469,10.486,323689.7674337
2017-09-22,10.661,9.7571,10.174,10.186,10.164,10.184,312410.99148619
2017-09-21,11.456,10.04,10.0905,10.09,10.09,10.091,493198.73798366
2017-09-20,11.806,11.15,11.422,11.4,11.407,11.437,311621.1601462
2017-09-19,12.269,11.212,11.523,11.52,11.52,11.526,449131.35901104
2017-09-18,12.189,11.0,12.0505,12.028,12.029,12.072,550828.20659547
2017-09-17,11.402,10.25,11.135,11.116,11.116,11.154,190629.22335607
2017-09-16,12.3,10.77,11.1885,11.177,11.181,11.196,377077.09021945
2017-09-15,12.25,8.2997,11.6855,11.725,11.65,11.721,2163133.2970142
2017-09-14,14.498,10.7,10.7165,10.7,10.7,10.733,863199.00784481
2017-09-13,15.19,13.5,14.3675,14.404,14.331,14.404,397439.33528901
2017-09-12,16.24,14.841,15.1935,15.19,15.19,15.197,274418.70790154
2017-09-11,15.998,14.8,15.254,15.216,15.216,15.292,255392.36107643
2017-09-10,16.336,14.25,15.534,15.552,15.504,15.564,423417.27062803
2017-09-09,16.889,15.0,16.2375,16.224,16.228,16.247,314430.86220275
2017-09-08,18.727,15.896,16.7425,16.75,16.717,16.768,447908.00381998
2017-09-07,19.489,17.876,18.547,18.542,18.54,18.554,362654.61915768
2017-09-06,19.185,16.804,19.159,19.185,19.142,19.176,627915.67920161
2017-09-05,17.34,15.25,17.096,17.11,17.082,17.11,567146.7441443
