Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-09-09,224.79,207.3,219.01,219.68,218.86,219.16,7320.04346772
2017-09-08,250.0,211.1,222.745,223.52,221.89,223.6,9381.15896839
2017-09-07,253.0,235.07,248.535,249.13,247.96,249.11,10383.41002559
2017-09-06,250.3,224.27,249.325,248.62,248.64,250.01,14606.35527873
2017-09-05,238.08,195.71,229.74,229.99,229.49,229.99,12982.54135935
2017-09-04,264.0,198.72,225.98,225.97,225.47,226.49,20335.23170957
2017-09-03,269.97,240.01,261.535,261.03,261.03,262.04,11934.68535373
2017-09-02,312.0,215.0,246.085,245.12,245.08,247.09,23834.31922793
2017-09-01,314.99,283.02,309.29,309.79,308.79,309.79,18696.72047589
2017-08-31,287.7,270.36,286.45,287.06,285.74,287.16,6461.91585054
2017-08-30,282.0,267.6,276.185,277.2,275.19,277.18,7245.24704149
2017-08-29,278.07,261.33,269.54,268.57,268.74,270.34,9773.04477105
2017-08-28,282.15,255.0,274.585,274.15,274.17,275.0,19257.91434908
2017-08-27,302.0,265.0,275.725,276.27,275.02,276.43,16277.91361927
2017-08-26,294.0,235.3,279.365,280.88,278.5,280.23,32756.41783501
2017-08-25,259.99,226.78,238.09,238.59,237.61,238.57,9598.25193509
2017-08-24,233.7,223.1,230.93,230.61,230.8,231.06,2448.64750642
2017-08-23,242.3,223.0,227.865,228.62,227.14,228.59,7267.16538908
2017-08-22,242.51,205.63,225.355,225.55,224.8,225.91,10379.05171134
2017-08-21,260.77,229.0,240.805,240.61,240.61,241.0,13997.12630583
2017-08-20,253.0,223.25,247.22,247.2,247.2,247.24,14221.50396594
2017-08-19,249.0,191.0,229.39,229.69,229.0,229.78,18414.18329868
2017-08-18,212.5,199.55,202.99,202.16,202.21,203.77,6233.19513059
2017-08-17,219.45,202.32,209.82,209.32,209.32,210.32,4940.19493755
2017-08-16,222.76,205.55,215.305,215.01,215.01,215.6,5962.73087262
2017-08-15,215.16,196.68,212.215,212.8,211.73,212.7,6741.14340553
2017-08-14,217.45,202.0,209.95,210.26,209.64,210.26,5662.07257901
2017-08-13,228.0,197.83,214.305,214.57,213.99,214.62,7129.45799991
2017-08-12,237.0,216.1,224.075,223.17,223.17,224.98,6409.48294106
2017-08-11,238.23,223.0,235.53,235.5,235.5,235.56,5378.33936035
2017-08-10,249.29,233.5,235.255,235.92,234.64,235.87,7295.78901674
2017-08-09,259.0,229.56,237.125,233.55,235.7,238.55,16813.34844188
2017-08-08,257.65,208.08,248.065,247.4,247.42,248.71,15893.7204093
2017-08-07,212.59,200.01,208.86,209.48,208.3,209.42,4992.22789126
2017-08-06,213.0,202.2,210.285,210.0,210.0,210.57,4407.56132672
2017-08-05,216.96,185.23,203.355,203.66,203.07,203.64,11227.95970342
2017-08-04,191.15,183.76,185.56,185.25,184.78,186.34,2092.1183615
